method,model,variant,scope_type,scope,n_subjects,n_clips,n_folds,best_hp,f1_macro_03,f1_macro_03_std,f1_macro_02,f1_macro_02_std,f1_weighted,f1_weighted_std,accuracy,accuracy_std,mae,mae_std,qwk,qwk_std,spearman,spearman_std,source_file
loso,videomae,default,dataset (LOSO-fold-aggregated),3DGait,43.0,210.0,43.0,,0.4693,0.4303,0.5423,0.4337,0.4956,0.435,0.5,0.4262,0.6444,0.4893,0.4258,0.2974,0.4581,,outputs/runs/full_2026-06-18/results/loso/videomae/results_videomae_loso_20260618_160538.json
loso,videomae,default,dataset (LOSO-fold-aggregated),BMClab,23.0,893.0,23.0,,0.5809,0.3404,0.5809,0.3123,0.612,0.3112,0.611,0.3152,0.6662,0.311,0.214,0.0954,0.2968,,outputs/runs/full_2026-06-18/results/loso/videomae/results_videomae_loso_20260618_160538.json
loso,videomae,default,dataset (LOSO-fold-aggregated),PD-GaM,30.0,2401.0,30.0,,0.6538,0.138,0.6171,0.1399,0.6465,0.1397,0.6471,0.1423,0.44,0.1467,0.5508,0.2088,0.5948,,outputs/runs/full_2026-06-18/results/loso/videomae/results_videomae_loso_20260618_160538.json
loso,videomae,default,dataset (LOSO-fold-aggregated),T-SDU-PD,14.0,931.0,14.0,,0.4115,0.2239,0.4115,0.2561,0.4233,0.247,0.4199,0.248,0.7454,0.1449,0.2662,0.0841,0.3334,,outputs/runs/full_2026-06-18/results/loso/videomae/results_videomae_loso_20260618_160538.json
loso,videomae,lora,dataset (LOSO-fold-aggregated),3DGait,43.0,210.0,43.0,,0.4159,0.408,0.4805,0.4182,0.4326,0.417,0.4333,0.4074,0.6222,0.4649,0.5063,0.3422,0.5518,,outputs/runs/full_2026-06-18/results/loso/videomae_lora/results_videomae_loso_20260621_155431.json
loso,videomae,lora,dataset (LOSO-fold-aggregated),BMClab,23.0,893.0,23.0,,0.5607,0.3034,0.5607,0.3151,0.5921,0.3123,0.5905,0.3192,0.638,0.3192,0.2651,0.1025,0.3128,,outputs/runs/full_2026-06-18/results/loso/videomae_lora/results_videomae_loso_20260621_155431.json
loso,videomae,lora,dataset (LOSO-fold-aggregated),PD-GaM,30.0,2401.0,30.0,,0.6029,0.1281,0.5947,0.1421,0.6219,0.1401,0.6224,0.1391,0.4529,0.1575,0.5383,0.2302,0.578,,outputs/runs/full_2026-06-18/results/loso/videomae_lora/results_videomae_loso_20260621_155431.json
loso,videomae,lora,dataset (LOSO-fold-aggregated),T-SDU-PD,14.0,931.0,14.0,,0.3975,0.2234,0.3975,0.2568,0.4121,0.2447,0.4094,0.243,0.79,0.1801,0.2276,0.1037,0.3144,,outputs/runs/full_2026-06-18/results/loso/videomae_lora/results_videomae_loso_20260621_155431.json
loso,dinov2,default,dataset (LOSO-fold-aggregated),3DGait,43.0,210.0,43.0,"{""hidden_size"": 256, ""dropout"": 0.2, ""learning_rate"": 0.0005}",0.2903,0.3662,0.3567,0.3898,0.3776,0.3892,0.3889,0.3725,0.8778,0.7294,0.1033,0.2606,0.2835,,outputs/runs/full_2026-06-18/results/loso/dinov2_bilstm/results_dinov2_loso_20260618_142414.json
loso,dinov2,default,dataset (LOSO-fold-aggregated),BMClab,23.0,893.0,23.0,"{""hidden_size"": 256, ""dropout"": 0.2, ""learning_rate"": 0.0005}",0.5534,0.3174,0.5534,0.3322,0.5899,0.3322,0.5866,0.3275,0.5019,0.42,0.433,0.2271,0.5146,,outputs/runs/full_2026-06-18/results/loso/dinov2_bilstm/results_dinov2_loso_20260618_142414.json
