method,loso,loso,loso,loso,loso,loso,lodo,lodo,lodo,lodo,lodo,lodo,lodo,cda,cda,cda,cda,cda,cda,cda,mida,mida,mida,mida,mida,mida,mida
model,videomae,videomae,dinov2,vjepa,vjepa2,vjepa2,videomae,videomae,dinov2,dinov2,vjepa,vjepa2,vjepa2,videomae,videomae,dinov2,dinov2,vjepa,vjepa2,vjepa2,videomae,videomae,dinov2,dinov2,vjepa,vjepa2,vjepa2
variant,default,lora,default,default,default,64f,default,lora,default,bilstm,default,default,64f,default,lora,default,bilstm,default,default,64f,default,lora,default,bilstm,default,default,64f
scope,,,,,,,,,,,,,,,,,,,,,,,,,,,
3DGait,0.5,0.4333,0.3889,0.4,0.4222,0.4444,0.4667,0.4667,0.4111,0.2444,0.4444,0.4,0.4,,,,,,,,0.4778,0.4889,0.3444,0.3556,0.5111,0.4889,0.5111
3DGait → BMClab,,,,,,,,,,,,,,0.5417,0.552,0.4763,0.5045,0.466,0.5738,0.5507,,,,,,,
3DGait → PD-GaM,,,,,,,,,,,,,,0.4712,0.4835,0.4476,0.3918,0.48,0.5765,0.5406,,,,,,,
3DGait → T-SDU-PD,,,,,,,,,,,,,,0.336,0.3307,0.3255,0.3701,0.3701,0.3727,0.3596,,,,,,,
ALL (LODO mean),,,,,,,0.4197,0.4263,0.4658,0.4167,0.4551,0.3976,0.3791,,,,,,,,,,,,,,
BMClab,0.611,0.5905,0.5866,0.5892,0.5982,0.57,0.4288,0.4288,0.5327,0.4878,0.5443,0.3363,0.3196,,,,,,,,0.6406,0.6252,0.6496,0.5687,0.6187,0.6316,0.6418
BMClab → 3DGait,,,,,,,,,,,,,,0.5,0.4889,0.3556,0.3222,0.4444,0.5444,0.4444,,,,,,,
BMClab → PD-GaM,,,,,,,,,,,,,,0.5247,0.4771,0.51,0.5212,0.5088,0.4788,0.2247,,,,,,,
BMClab → T-SDU-PD,,,,,,,,,,,,,,0.5118,0.5118,0.4147,0.4672,0.4698,0.4094,0.3123,,,,,,,
PD-GaM,0.6471,0.6224,0.6641,0.6324,0.64,0.6418,0.4053,0.4371,0.5335,0.5224,0.4406,0.4971,0.4529,,,,,,,,0.6441,0.6212,0.6441,0.6741,0.6176,0.6365,0.6629
PD-GaM → 3DGait,,,,,,,,,,,,,,0.4333,0.4111,0.2222,0.2,0.3,0.2667,0.4556,,,,,,,
PD-GaM → BMClab,,,,,,,,,,,,,,0.4095,0.4249,0.2978,0.2426,0.4377,0.2349,0.2542,,,,,,,
PD-GaM → T-SDU-PD,,,,,,,,,,,,,,0.3438,0.4042,0.4147,0.4357,0.4698,0.4672,0.3228,,,,,,,
T-SDU-PD,0.4199,0.4094,0.3648,0.4331,0.4304,0.4094,0.378,0.3727,0.3858,0.4121,0.3911,0.357,0.3438,,,,,,,,0.4304,0.4357,0.4934,0.4252,0.4698,0.4724,0.4331
T-SDU-PD → 3DGait,,,,,,,,,,,,,,0.3556,0.3556,0.3222,0.3,0.4444,0.4333,0.3778,,,,,,,
T-SDU-PD → BMClab,,,,,,,,,,,,,,0.4429,0.4403,0.457,0.4352,0.475,0.4647,0.4249,,,,,,,
T-SDU-PD → PD-GaM,,,,,,,,,,,,,,0.3324,0.4006,0.4818,0.4888,0.4618,0.4253,0.3776,,,,,,,
