method,loso,loso,loso,loso,loso,loso,lodo,lodo,lodo,lodo,lodo,lodo,lodo,cda,cda,cda,cda,cda,cda,cda,mida,mida,mida,mida,mida,mida,mida
model,videomae,videomae,dinov2,vjepa,vjepa2,vjepa2,videomae,videomae,dinov2,dinov2,vjepa,vjepa2,vjepa2,videomae,videomae,dinov2,dinov2,vjepa,vjepa2,vjepa2,videomae,videomae,dinov2,dinov2,vjepa,vjepa2,vjepa2
variant,default,lora,default,default,default,64f,default,lora,default,bilstm,default,default,64f,default,lora,default,bilstm,default,default,64f,default,lora,default,bilstm,default,default,64f
scope,,,,,,,,,,,,,,,,,,,,,,,,,,,
3DGait,0.5423,0.4805,0.3567,0.4195,0.4394,0.4599,0.4871,0.4942,0.4411,0.2019,0.482,0.43,0.4154,,,,,,,,0.4937,0.4949,0.3513,0.3343,0.5364,0.488,0.5198
3DGait → BMClab,,,,,,,,,,,,,,0.4791,0.4899,0.4522,0.3744,0.465,0.5246,0.5162,,,,,,,
3DGait → PD-GaM,,,,,,,,,,,,,,0.3185,0.3136,0.3324,0.2549,0.3478,0.4175,0.3903,,,,,,,
3DGait → T-SDU-PD,,,,,,,,,,,,,,0.3,0.2907,0.2946,0.3228,0.3603,0.3493,0.3312,,,,,,,
ALL (LODO mean),,,,,,,0.3812,0.3955,0.4254,0.3715,0.4315,0.3661,0.349,,,,,,,,,,,,,,
BMClab,0.5809,0.5607,0.5534,0.566,0.5786,0.5521,0.4203,0.4209,0.4891,0.4807,0.5263,0.3271,0.311,,,,,,,,0.6165,0.5997,0.6111,0.5461,0.5936,0.6122,0.6179
BMClab → 3DGait,,,,,,,,,,,,,,0.5438,0.5179,0.3748,0.3413,0.4768,0.5493,0.2641,,,,,,,
BMClab → PD-GaM,,,,,,,,,,,,,,0.4525,0.2805,0.4377,0.3915,0.3742,0.3462,0.1999,,,,,,,
BMClab → T-SDU-PD,,,,,,,,,,,,,,0.4803,0.4946,0.3901,0.457,0.4418,0.4028,0.2006,,,,,,,
PD-GaM,0.6171,0.5947,0.6314,0.6079,0.6162,0.6159,0.2448,0.3137,0.374,0.384,0.3278,0.3706,0.3391,,,,,,,,0.6097,0.5889,0.5976,0.6196,0.5859,0.6015,0.6256
PD-GaM → 3DGait,,,,,,,,,,,,,,0.3847,0.4374,0.1314,0.1061,0.3138,0.2799,0.3447,,,,,,,
PD-GaM → BMClab,,,,,,,,,,,,,,0.3257,0.4033,0.2574,0.2192,0.3807,0.1701,0.2105,,,,,,,
PD-GaM → T-SDU-PD,,,,,,,,,,,,,,0.2753,0.4084,0.2331,0.2459,0.3882,0.4383,0.2176,,,,,,,
T-SDU-PD,0.4115,0.3975,0.3694,0.4194,0.417,0.401,0.3725,0.3533,0.3973,0.4196,0.3899,0.3369,0.3303,,,,,,,,0.4258,0.4356,0.4789,0.4383,0.4601,0.4647,0.4264
T-SDU-PD → 3DGait,,,,,,,,,,,,,,0.3346,0.3172,0.3046,0.281,0.4573,0.445,0.372,,,,,,,
T-SDU-PD → BMClab,,,,,,,,,,,,,,0.4351,0.4335,0.4089,0.3161,0.4649,0.4437,0.4216,,,,,,,
T-SDU-PD → PD-GaM,,,,,,,,,,,,,,0.28,0.3142,0.2999,0.3242,0.2188,0.4144,0.3134,,,,,,,
