method,loso,loso,loso,loso,loso,loso,lodo,lodo,lodo,lodo,lodo,lodo,lodo,cda,cda,cda,cda,cda,cda,cda,mida,mida,mida,mida,mida,mida,mida
model,videomae,videomae,dinov2,vjepa,vjepa2,vjepa2,videomae,videomae,dinov2,dinov2,vjepa,vjepa2,vjepa2,videomae,videomae,dinov2,dinov2,vjepa,vjepa2,vjepa2,videomae,videomae,dinov2,dinov2,vjepa,vjepa2,vjepa2
variant,default,lora,default,default,default,64f,default,lora,default,bilstm,default,default,64f,default,lora,default,bilstm,default,default,64f,default,lora,default,bilstm,default,default,64f
scope,,,,,,,,,,,,,,,,,,,,,,,,,,,
3DGait,0.4258,0.5063,0.1033,0.4521,0.4515,0.5129,0.3492,0.4398,0.1142,0.1733,0.4609,0.2623,0.4624,,,,,,,,0.4831,0.5182,0.3597,0.3318,0.4685,0.4507,0.4806
3DGait → BMClab,,,,,,,,,,,,,,0.4962,0.4908,0.1638,0.2888,0.4531,0.4681,0.3852,,,,,,,
3DGait → PD-GaM,,,,,,,,,,,,,,0.3552,0.3198,0.0548,0.3012,0.3557,0.389,0.4018,,,,,,,
3DGait → T-SDU-PD,,,,,,,,,,,,,,0.1485,0.1118,0.2201,0.1879,0.253,0.2445,0.1729,,,,,,,
ALL (LODO mean),,,,,,,0.2646,0.2888,0.2801,0.3404,0.3503,0.2052,0.2937,,,,,,,,,,,,,,
BMClab,0.214,0.2651,0.433,0.3551,0.2379,0.3783,0.1481,0.2042,0.4317,0.4387,0.3845,0.1386,0.2686,,,,,,,,0.4648,0.4606,0.5155,0.4976,0.5111,0.492,0.5216
BMClab → 3DGait,,,,,,,,,,,,,,0.352,0.296,0.0956,0.2818,0.1556,0.3602,0.3412,,,,,,,
BMClab → PD-GaM,,,,,,,,,,,,,,0.1809,0.0768,0.1366,0.401,0.0,0.3045,-0.0162,,,,,,,
BMClab → T-SDU-PD,,,,,,,,,,,,,,0.2537,0.1174,-0.0119,0.3581,0.1868,0.2908,0.0064,,,,,,,
PD-GaM,0.5508,0.5383,0.676,0.5499,0.6131,0.6557,0.3724,0.2326,0.3059,0.4094,0.2731,0.1558,0.1816,,,,,,,,0.5816,0.5569,0.6009,0.6915,0.5796,0.6314,0.6641
PD-GaM → 3DGait,,,,,,,,,,,,,,0.3432,0.4391,0.0047,0.0612,0.331,0.277,0.1312,,,,,,,
PD-GaM → BMClab,,,,,,,,,,,,,,0.1615,0.1433,0.0555,0.2179,0.3392,0.072,0.0762,,,,,,,
PD-GaM → T-SDU-PD,,,,,,,,,,,,,,0.0632,0.0735,0.1065,0.0572,0.0839,0.2941,0.2945,,,,,,,
T-SDU-PD,0.2662,0.2276,0.3946,0.1195,0.2948,0.2129,0.1887,0.2786,0.2687,0.3401,0.2827,0.264,0.2621,,,,,,,,0.2513,0.2549,0.3586,0.4092,0.2692,0.3792,0.3208
T-SDU-PD → 3DGait,,,,,,,,,,,,,,-0.0559,0.0685,0.064,0.3002,0.1337,0.2269,0.3839,,,,,,,
T-SDU-PD → BMClab,,,,,,,,,,,,,,0.147,0.1608,0.3916,0.1737,0.162,0.1706,0.1602,,,,,,,
T-SDU-PD → PD-GaM,,,,,,,,,,,,,,0.2808,0.2606,0.1254,0.2145,0.0,0.1564,0.1212,,,,,,,
