protocol,model,true_UPDRS,pred_UPDRS,count
LOSO,VideoMAE,0,0,876
LOSO,VideoMAE,0,1,279
LOSO,VideoMAE,0,2,89
LOSO,VideoMAE,0,3,0
LOSO,VideoMAE,1,0,327
LOSO,VideoMAE,1,1,596
LOSO,VideoMAE,1,2,145
LOSO,VideoMAE,1,3,3
LOSO,VideoMAE,2,0,81
LOSO,VideoMAE,2,1,223
LOSO,VideoMAE,2,2,286
LOSO,VideoMAE,2,3,1
LOSO,VideoMAE,3,0,0
LOSO,VideoMAE,3,1,8
LOSO,VideoMAE,3,2,13
LOSO,VideoMAE,3,3,23
LOSO,DINOv2 (BiLSTM),0,0,879
LOSO,DINOv2 (BiLSTM),0,1,323
LOSO,DINOv2 (BiLSTM),0,2,39
LOSO,DINOv2 (BiLSTM),0,3,3
LOSO,DINOv2 (BiLSTM),1,0,289
LOSO,DINOv2 (BiLSTM),1,1,655
LOSO,DINOv2 (BiLSTM),1,2,120
LOSO,DINOv2 (BiLSTM),1,3,7
LOSO,DINOv2 (BiLSTM),2,0,60
LOSO,DINOv2 (BiLSTM),2,1,324
LOSO,DINOv2 (BiLSTM),2,2,205
LOSO,DINOv2 (BiLSTM),2,3,2
LOSO,DINOv2 (BiLSTM),3,0,1
LOSO,DINOv2 (BiLSTM),3,1,6
LOSO,DINOv2 (BiLSTM),3,2,16
LOSO,DINOv2 (BiLSTM),3,3,21
LOSO,V-JEPA,0,0,872
LOSO,V-JEPA,0,1,303
LOSO,V-JEPA,0,2,68
LOSO,V-JEPA,0,3,1
LOSO,V-JEPA,1,0,371
LOSO,V-JEPA,1,1,555
LOSO,V-JEPA,1,2,139
LOSO,V-JEPA,1,3,6
LOSO,V-JEPA,2,0,85
LOSO,V-JEPA,2,1,211
LOSO,V-JEPA,2,2,294
LOSO,V-JEPA,2,3,1
LOSO,V-JEPA,3,0,8
LOSO,V-JEPA,3,1,6
LOSO,V-JEPA,3,2,16
LOSO,V-JEPA,3,3,14
LOSO,V-JEPA 2,0,0,879
LOSO,V-JEPA 2,0,1,310
LOSO,V-JEPA 2,0,2,55
LOSO,V-JEPA 2,0,3,0
LOSO,V-JEPA 2,1,0,362
LOSO,V-JEPA 2,1,1,556
LOSO,V-JEPA 2,1,2,150
LOSO,V-JEPA 2,1,3,3
LOSO,V-JEPA 2,2,0,100
LOSO,V-JEPA 2,2,1,193
LOSO,V-JEPA 2,2,2,297
LOSO,V-JEPA 2,2,3,1
LOSO,V-JEPA 2,3,0,0
LOSO,V-JEPA 2,3,1,6
LOSO,V-JEPA 2,3,2,14
LOSO,V-JEPA 2,3,3,24
MIDA,VideoMAE,0,0,918
MIDA,VideoMAE,0,1,266
MIDA,VideoMAE,0,2,60
MIDA,VideoMAE,0,3,0
MIDA,VideoMAE,1,0,346
MIDA,VideoMAE,1,1,595
MIDA,VideoMAE,1,2,130
MIDA,VideoMAE,1,3,0
MIDA,VideoMAE,2,0,115
MIDA,VideoMAE,2,1,200
MIDA,VideoMAE,2,2,273
MIDA,VideoMAE,2,3,3
MIDA,VideoMAE,3,0,0
MIDA,VideoMAE,3,1,2
MIDA,VideoMAE,3,2,27
MIDA,VideoMAE,3,3,15
