protocol,model,dataset,UPDRS_class,N_true,N_pred,N_correct,recall,precision,F1,bias_ratio
LOSO,VideoMAE,BMClab,0,341,328,234,0.6862,0.7134,0.6996,0.9619
LOSO,VideoMAE,BMClab,1,276,287,171,0.6196,0.5958,0.6075,1.0399
LOSO,VideoMAE,BMClab,2,162,164,71,0.4383,0.4329,0.4356,1.0123
LOSO,VideoMAE,BMClab,3,0,0,0,,,,
LOSO,VideoMAE,3DGait,0,24,28,13,0.5417,0.4643,0.5,1.1667
LOSO,VideoMAE,3DGait,1,42,44,22,0.5238,0.5,0.5116,1.0476
LOSO,VideoMAE,3DGait,2,14,12,8,0.5714,0.6667,0.6154,0.8571
LOSO,VideoMAE,3DGait,3,10,6,2,0.2,0.3333,0.25,0.6
LOSO,VideoMAE,T-SDU-PD,0,96,122,50,0.5208,0.4098,0.4587,1.2708
LOSO,VideoMAE,T-SDU-PD,1,118,121,30,0.2542,0.2479,0.251,1.0254
LOSO,VideoMAE,T-SDU-PD,2,167,138,80,0.479,0.5797,0.5246,0.8263
LOSO,VideoMAE,T-SDU-PD,3,0,0,0,,,,
LOSO,VideoMAE,PD-GaM,0,783,806,579,0.7395,0.7184,0.7288,1.0294
LOSO,VideoMAE,PD-GaM,1,635,654,373,0.5874,0.5703,0.5787,1.0299
LOSO,VideoMAE,PD-GaM,2,248,219,127,0.5121,0.5799,0.5439,0.8831
LOSO,VideoMAE,PD-GaM,3,34,21,21,0.6176,1.0,0.7636,0.6176
LOSO,VideoMAE,ALL (pooled),0,1244,1284,876,0.7042,0.6822,0.693,1.0322
LOSO,VideoMAE,ALL (pooled),1,1071,1106,596,0.5565,0.5389,0.5475,1.0327
LOSO,VideoMAE,ALL (pooled),2,591,533,286,0.4839,0.5366,0.5089,0.9019
LOSO,VideoMAE,ALL (pooled),3,44,27,23,0.5227,0.8519,0.6479,0.6136
LOSO,DINOv2 (BiLSTM),T-SDU-PD,0,96,144,68,0.7083,0.4722,0.5667,1.5
LOSO,DINOv2 (BiLSTM),T-SDU-PD,1,118,192,43,0.3644,0.224,0.2774,1.6271
LOSO,DINOv2 (BiLSTM),T-SDU-PD,2,167,45,28,0.1677,0.6222,0.2642,0.2695
LOSO,DINOv2 (BiLSTM),T-SDU-PD,3,0,0,0,,,,
LOSO,DINOv2 (BiLSTM),3DGait,0,24,20,8,0.3333,0.4,0.3636,0.8333
LOSO,DINOv2 (BiLSTM),3DGait,1,42,51,24,0.5714,0.4706,0.5161,1.2143
LOSO,DINOv2 (BiLSTM),3DGait,2,14,7,2,0.1429,0.2857,0.1905,0.5
LOSO,DINOv2 (BiLSTM),3DGait,3,10,12,1,0.1,0.0833,0.0909,1.2
LOSO,DINOv2 (BiLSTM),BMClab,0,341,323,238,0.6979,0.7368,0.7169,0.9472
LOSO,DINOv2 (BiLSTM),BMClab,1,276,281,152,0.5507,0.5409,0.5458,1.0181
LOSO,DINOv2 (BiLSTM),BMClab,2,162,175,67,0.4136,0.3829,0.3976,1.0802
LOSO,DINOv2 (BiLSTM),BMClab,3,0,0,0,,,,
LOSO,DINOv2 (BiLSTM),PD-GaM,0,783,742,565,0.7216,0.7615,0.741,0.9476
LOSO,DINOv2 (BiLSTM),PD-GaM,1,635,784,436,0.6866,0.5561,0.6145,1.2346
LOSO,DINOv2 (BiLSTM),PD-GaM,2,248,153,108,0.4355,0.7059,0.5387,0.6169
LOSO,DINOv2 (BiLSTM),PD-GaM,3,34,21,20,0.5882,0.9524,0.7273,0.6176
LOSO,DINOv2 (BiLSTM),ALL (pooled),0,1244,1229,879,0.7066,0.7152,0.7109,0.9879
LOSO,DINOv2 (BiLSTM),ALL (pooled),1,1071,1308,655,0.6116,0.5008,0.5507,1.2213
LOSO,DINOv2 (BiLSTM),ALL (pooled),2,591,380,205,0.3469,0.5395,0.4222,0.643
LOSO,DINOv2 (BiLSTM),ALL (pooled),3,44,33,21,0.4773,0.6364,0.5455,0.75
LOSO,V-JEPA,T-SDU-PD,0,96,116,45,0.4688,0.3879,0.4245,1.2083
LOSO,V-JEPA,T-SDU-PD,1,118,121,32,0.2712,0.2645,0.2678,1.0254
LOSO,V-JEPA,T-SDU-PD,2,167,144,88,0.5269,0.6111,0.5659,0.8623
LOSO,V-JEPA,T-SDU-PD,3,0,0,0,,,,
LOSO,V-JEPA,3DGait,0,24,31,13,0.5417,0.4194,0.4727,1.2917
LOSO,V-JEPA,3DGait,1,42,42,19,0.4524,0.4524,0.4524,1.0
LOSO,V-JEPA,3DGait,2,14,10,4,0.2857,0.4,0.3333,0.7143
