protocol,model,true_UPDRS,pred_UPDRS,count,row_%,correct
LOSO,VideoMAE,0,0,876,70.4,True
LOSO,VideoMAE,0,1,279,22.4,False
LOSO,VideoMAE,0,2,89,7.2,False
LOSO,VideoMAE,0,3,0,0.0,False
LOSO,VideoMAE,1,0,327,30.5,False
LOSO,VideoMAE,1,1,596,55.6,True
LOSO,VideoMAE,1,2,145,13.5,False
LOSO,VideoMAE,1,3,3,0.3,False
LOSO,VideoMAE,2,0,81,13.7,False
LOSO,VideoMAE,2,1,223,37.7,False
LOSO,VideoMAE,2,2,286,48.4,True
LOSO,VideoMAE,2,3,1,0.2,False
LOSO,VideoMAE,3,0,0,0.0,False
LOSO,VideoMAE,3,1,8,18.2,False
LOSO,VideoMAE,3,2,13,29.5,False
LOSO,VideoMAE,3,3,23,52.3,True
LOSO,DINOv2 (BiLSTM),0,0,879,70.7,True
LOSO,DINOv2 (BiLSTM),0,1,323,26.0,False
LOSO,DINOv2 (BiLSTM),0,2,39,3.1,False
LOSO,DINOv2 (BiLSTM),0,3,3,0.2,False
LOSO,DINOv2 (BiLSTM),1,0,289,27.0,False
LOSO,DINOv2 (BiLSTM),1,1,655,61.2,True
LOSO,DINOv2 (BiLSTM),1,2,120,11.2,False
LOSO,DINOv2 (BiLSTM),1,3,7,0.7,False
LOSO,DINOv2 (BiLSTM),2,0,60,10.2,False
LOSO,DINOv2 (BiLSTM),2,1,324,54.8,False
LOSO,DINOv2 (BiLSTM),2,2,205,34.7,True
LOSO,DINOv2 (BiLSTM),2,3,2,0.3,False
LOSO,DINOv2 (BiLSTM),3,0,1,2.3,False
LOSO,DINOv2 (BiLSTM),3,1,6,13.6,False
LOSO,DINOv2 (BiLSTM),3,2,16,36.4,False
LOSO,DINOv2 (BiLSTM),3,3,21,47.7,True
LOSO,V-JEPA,0,0,872,70.1,True
LOSO,V-JEPA,0,1,303,24.4,False
LOSO,V-JEPA,0,2,68,5.5,False
LOSO,V-JEPA,0,3,1,0.1,False
LOSO,V-JEPA,1,0,371,34.6,False
LOSO,V-JEPA,1,1,555,51.8,True
LOSO,V-JEPA,1,2,139,13.0,False
LOSO,V-JEPA,1,3,6,0.6,False
LOSO,V-JEPA,2,0,85,14.4,False
LOSO,V-JEPA,2,1,211,35.7,False
LOSO,V-JEPA,2,2,294,49.7,True
LOSO,V-JEPA,2,3,1,0.2,False
LOSO,V-JEPA,3,0,8,18.2,False
LOSO,V-JEPA,3,1,6,13.6,False
LOSO,V-JEPA,3,2,16,36.4,False
LOSO,V-JEPA,3,3,14,31.8,True
LOSO,V-JEPA 2,0,0,879,70.7,True
LOSO,V-JEPA 2,0,1,310,24.9,False
LOSO,V-JEPA 2,0,2,55,4.4,False
LOSO,V-JEPA 2,0,3,0,0.0,False
LOSO,V-JEPA 2,1,0,362,33.8,False
LOSO,V-JEPA 2,1,1,556,51.9,True
LOSO,V-JEPA 2,1,2,150,14.0,False
LOSO,V-JEPA 2,1,3,3,0.3,False
LOSO,V-JEPA 2,2,0,100,16.9,False
LOSO,V-JEPA 2,2,1,193,32.7,False
LOSO,V-JEPA 2,2,2,297,50.3,True
LOSO,V-JEPA 2,2,3,1,0.2,False
LOSO,V-JEPA 2,3,0,0,0.0,False
LOSO,V-JEPA 2,3,1,6,13.6,False
LOSO,V-JEPA 2,3,2,14,31.8,False
LOSO,V-JEPA 2,3,3,24,54.5,True
MIDA,VideoMAE,0,0,918,73.8,True
